ESTIMATIVAS DA POPULAÇÃO RESIDENTE NO BRASIL E UNIDADES DA FEDERAÇÃO COM DATA DE REFERÊNCIA EM 1º DE JULHO DE 2011;;;;
NOTA EXPLICATIVA;;;;
"A população do Brasil difere em 2.791 pessoas (192.379.287 pessoas) em relação àquela divulgada no D.O.U em 31/08/2011 (192.376.496 pessoas) em decorrência do critério de arredondamento para números inteiros, a ser adotado a partir deste ano.
Para maiores detalhes ver: www.ibge.gov.br/home/estatistica/estimativa2011/default.shtm";;;;
BRASIL E UNIDADES DA FEDERAÇÃO;POPULAÇÃO ESTIMADA;;;
Brasil;192.379.287;;;
Região Norte;16.095.187;;;
Rondônia;1.576.455;;;
Acre;746.386;;;
Amazonas;3.538.387;;;
Roraima;460.165;;;
Pará;7.688.593;;;
Amapá;684.309;;;
Tocantins;1.400.892;;;
Região Nordeste;53.501.859;;;
Maranhão;6.645.761;;;
Piauí;3.140.328;;;
Ceará;8.530.155;;;
Rio Grande do Norte;3.198.657;;;
Paraíba;3.791.315;;;
Pernambuco;8.864.906;;;
Alagoas;3.143.384;;;
Sergipe;2.089.819;;;
Bahia;14.097.534;;;
Região Sudeste;80.975.616;;;
Minas Gerais;19.728.701;;;
Espírito Santo;3.547.055;;;
Rio de Janeiro;16.112.678;;;
São Paulo;41.587.182;;;
Região Sul;27.562.433;;;
Paraná;10.512.349;;;
Santa Catarina;6.317.054;;;
Rio Grande do Sul;10.733.030;;;
Região Centro-Oeste;14.244.192;;;
Mato Grosso do Sul;2.477.542;;;
Mato Grosso;3.075.936;;;
Goiás;6.080.716;;;
Distrito Federal;2.609.998;;;
;;;;
Fonte: IBGE, Diretoria de Pesquisas - DPE. Coordenação de População e Indicadores Socias - COPIS.;;;;
